VideoGameDaily,VideoGameWeekly,StreamWatchingDaily,StreamingWatchingWeekly,TvWatchingDaily,TvWatchingWeekly,Week,Day
4,20.5,3,14.5,1,8.5,1,1
3,19,1,16,2,14,2,2
3.5,21.5,1.5,21.5,0.5,11,3,3
3,16.5,1,22,1,12.5,4,4
4,16,2,20,2.5,12,5,5
2,,4,NA,1,NA,,6
1,,2,NA,0.5,NA,,7
3,,1,NA,3,NA,,8
3,,1,NA,3,NA,,9
2,,3,NA,1,NA,,10
3,,1.5,NA,2.5,NA,,11
1.5,,3,NA,1,NA,,12
2.5,,4.5,NA,2,NA,,13
4,,2,NA,1.5,NA,,14
5,,2,NA,1,NA,,15
3,,2.5,NA,3,NA,,16
2,,3,NA,1.5,NA,,17
2,,3,NA,1,NA,,18
3,,2.5,NA,1,NA,,19
3.5,,4,NA,0.5,NA,,20
3,,4.5,NA,3,NA,,21
2,,3,NA,2,NA,,22
2,,2,NA,3,NA,,23
2.5,,2,NA,3,NA,,24
3,,3,NA,0.5,NA,,25
1.5,,3.5,NA,1.5,NA,,26
2,,4,NA,2,NA,,27
3.5,,4.5,NA,0.5,NA,,28
0,,1,NA,3,NA,,29
0.5,,4,NA,2,NA,,30
3,,3.5,NA,1,NA,,31
2.5,,4,NA,1.5,NA,,32
4,,2.5,NA,0.5,NA,,33
2,,3,NA,2,NA,,34
4,,2,NA,2,NA,,35
